_name,_desc_eng,_desc_kor
monthly_nbdays,Monthly Number of Business Days,월 영업일 수
monthly_rtn,Monthly Return,월 누적 수익률
monthly_rtn_davg,Monthly Return Daily Average,월 일 수익률 평균
monthly_start_high_nbdays,Monthly Number of Business Days (Start ~ High),월 월초 ~ 고점 영업일 수
monthly_start_high_rtn,Monthly Return (Start ~ High),월 월초 ~ 고점 누적 수익률
monthly_start_high_rtn_davg,Monthly Return Daily Average (Start ~ High),월 월초 ~ 고점 일 수익률 평균
monthly_high_low_nbdays,Monthly Number of Business Days (High ~ Low),월 고점 ~ 고점 이후 저점 영업일 수
monthly_high_low_rtn,Monthly Return (High ~ Low),월 고점 ~ 고점 이후 저점 일 수익률 평균
monthly_high_low_rtn_davg,Monthly Return Daily Average (High ~ Low),월 고점 ~ 고점 이후 저점 누적 수익률
monthly_high_end_nbdays,Monthly Number of Business Days (High ~ End),월 고점 ~ 월말 영업일 수
monthly_high_end_rtn,Monthly Return (High ~ End),월 고점 ~ 월말 누적 수익률
monthly_high_end_rtn_davg,Monthly Return Daily Average (High ~ End),월 고점 ~ 월말 일 수익률 평균
monthly_mdd,Monthly MDD,월 최대 누적 손실 (MDD)
monthly_vola,Monthly Daily Return Volatility,월 일 수익률 변동성
monthly_dvola,Monthly Daily Return Downside Volatility,월 일 수익률 하단 변동성
